device,first_payment_amount,age,city,number_of_cards,payments_initiated,payments_failed,payments_completed,payments_completed_amount_first_7days,reward_purchase_count_first_7days,coins_redeemed_first_7days,is_referral,visits_feature_1,visits_feature_2,given_permission_1,given_permission_2,user_id,is_churned
xiaomi,7,20,Mumbai,9,1,0,1,7,1,3,FALSE,0,0,1,1,134949,0
samsung,7,20,Hyderabad,4,2,0,2,13,2,7,TRUE,0,0,1,1,316149,0
vivo,7,20,Churu,1,6,1,3,24,0,0,FALSE,,,1,1,36705,0
oppo,9,20,NCR,2,4,3,1,9,1,3,FALSE,0,0,1,1,51881,0
xiaomi,9,20,Varanasi,1,1,0,1,9,1,3,FALSE,0,0,1,1,26459,0
xiaomi,9,20,Ahmedabad,1,3,0,2,22,1,0,TRUE,0,0,1,1,14113,0
xiaomi,10,20,Pune,8,2,0,2,52,1,3,FALSE,0,0,1,1,47115,0
oppo,11,20,Ahmedabad,0,1,0,1,11,,0,FALSE,0,0,1,1,482249,0
apple,12,20,Mumbai,2,1,0,1,12,0,0,FALSE,0,0,0,1,364497,0
realme,12,20,Bangalore,1,1,0,1,12,,0,TRUE,0,0,1,0,136172,0
xiaomi,12,20,Hanumangarh,2,1,0,1,12,1,3,FALSE,0,0,1,1,291767,0
oppo,12,20,Kurnool,0,4,0,1,12,1,3,FALSE,0,0,1,1,102182,0
motorola,13,20,NCR,1,1,0,1,13,1,3,FALSE,0,0,1,1,14067,0
realme,13,20,Coimbatore,2,1,0,1,13,1,3,TRUE,0,0,1,0,81799,0
asus,13,20,NCR,1,1,0,1,13,1,3,FALSE,7,2,1,1,115681,0
oneplus,13,20,NCR,2,5,3,2,24,1,3,TRUE,0,0,1,1,114855,0
xiaomi,14,20,Kolkata,1,5,0,3,70,3,23,FALSE,0,0,1,1,6506,0
oneplus,15,20,Lucknow,0,1,0,1,15,1,3,FALSE,0,0,1,1,439423,0
oneplus,15,20,Bangalore,0,2,0,1,15,1,3,FALSE,0,0,1,1,25898,0
xiaomi,16,20,Vijayawada,1,2,1,1,16,1,3,FALSE,0,0,1,1,33974,0
xiaomi,16,20,Ahmedabad,5,3,1,2,18,1,3,TRUE,0,0,1,0,215818,0
apple,17,20,Jamshedpur,1,4,3,1,17,1,17,FALSE,1,1,1,1,21040,0
samsung,17,20,NCR,1,11,4,5,130,9,83,FALSE,2,0,1,1,174877,0
oneplus,17,20,Bangalore,3,1,0,1,17,,0,FALSE,0,0,1,1,271385,0
xiaomi,17,20,Vadodara,1,3,2,1,17,1,17,FALSE,0,0,1,0,471596,0
samsung,17,20,Bangalore,0,4,0,1,17,0,0,TRUE,0,0,1,1,266120,0
samsung,17,20,Amritsar,0,5,1,2,77,4,40,FALSE,,,1,1,309955,0
xiaomi,21,20,NCR,0,2,0,1,21,0,0,FALSE,1,0,1,1,148678,0
oneplus,22,20,cambodia,1,1,0,1,22,0,0,TRUE,1,0,1,1,10746,0
xiaomi,24,20,Nizamabad,5,3,1,1,24,2,20,TRUE,0,0,1,1,108243,0
hmd global,24,20,Bangalore,1,4,0,2,31,2,20,FALSE,0,0,0,1,107782,0
apple,26,20,NCR,1,1,0,1,26,2,20,FALSE,1,0,0,1,261157,0
samsung,27,20,,2,1,0,1,27,2,20,FALSE,0,1,1,1,240021,0
oppo,27,20,Ambala,1,5,1,3,41,3,23,FALSE,5,0,1,0,25671,0
oneplus,28,20,Hyderabad,5,1,0,1,28,0,17,FALSE,0,0,1,1,88231,0
realme,29,20,Bangalore,0,1,0,1,29,1,17,TRUE,0,0,1,1,410626,0
oppo,30,20,Surat,5,2,0,2,32,2,20,FALSE,0,0,0,0,229697,0
xiaomi,30,20,Bangalore,0,2,0,1,30,2,20,FALSE,0,0,0,1,3588,0
samsung,30,20,Bangalore,0,3,0,1,30,0,0,FALSE,0,0,1,1,2025,0
oneplus,31,20,NCR,2,2,0,2,73,4,40,FALSE,0,0,1,1,308070,0
oppo,32,20,Nanded,0,4,1,1,32,2,20,FALSE,1,1,1,1,464377,0
apple,32,20,Mumbai,4,2,0,2,47,3,23,FALSE,1,2,1,1,286953,0
xiaomi,33,20,Banswara,3,2,0,2,43,0,0,TRUE,0,0,1,1,156705,0
xiaomi,34,20,,1,1,0,1,34,2,20,FALSE,,,1,0,454437,0
oneplus,37,20,Surat,6,3,1,2,39,2,20,TRUE,1,1,1,1,218252,0
apple,38,20,,1,4,0,4,86,5,43,FALSE,0,0,1,1,474024,0
motorola,39,20,Kolkata,2,3,0,1,39,2,20,TRUE,0,0,0,1,140247,0
apple,41,20,NCR,2,3,0,1,41,,0,FALSE,0,0,1,1,102369,0
samsung,41,20,NCR,0,1,0,1,41,2,20,FALSE,0,0,1,1,324166,0
motorola,46,20,Agra,1,2,0,1,46,2,20,TRUE,0,0,1,1,108878,0
xiaomi,47,20,Amravati,,,,,,0,,TRUE,,,1,1,251422,0
apple,50,20,Sonipat,2,4,0,3,257,2,193,FALSE,1,0,1,1,15208,0
xiaomi,50,20,Jaipur,4,13,4,8,458,18,257,FALSE,1,0,0,1,337675,0
realme,51,20,Sundargarh/ rourkela,0,1,0,1,51,3,20,TRUE,0,0,1,1,27426,0
apple,51,20,Ahmedabad,6,1,0,1,51,0,0,FALSE,0,0,1,0,355616,0
oppo,56,20,NCR,1,1,0,1,56,2,20,FALSE,0,0,1,0,245466,0
oppo,60,20,Visakhapatnam,2,2,0,2,61,0,0,TRUE,0,0,1,1,470140,0
apple,62,20,Hyderabad,0,1,0,1,62,0,17,FALSE,0,0,1,1,341169,0
xiaomi,62,20,Kolar,4,3,0,1,62,2,20,FALSE,1,0,1,0,254100,0
xiaomi,69,20,Pune,1,2,1,1,69,,0,TRUE,0,0,1,1,428096,0
xiaomi,70,20,Mysore,5,5,3,2,92,0,0,TRUE,1,0,1,0,386989,0
vivo,73,20,Ahmedabad,0,6,1,2,90,4,73,FALSE,0,0,1,1,114387,0
apple,80,20,Mumbai,2,4,1,2,147,5,140,FALSE,0,0,1,1,407657,0
samsung,80,20,Chennai,0,4,2,1,80,2,3,TRUE,0,0,1,1,27875,0
xiaomi,83,20,Lucknow,1,2,0,1,83,4,70,TRUE,0,1,1,1,480676,0
samsung,83,20,Junagadh,1,1,0,1,83,1,3,FALSE,0,0,1,0,284754,0
vivo,83,20,NCR,1,1,0,1,83,3,70,FALSE,0,0,1,1,252854,0
samsung,83,20,NCR,2,4,2,2,119,4,40,TRUE,0,0,1,0,30661,0
oneplus,92,20,,1,1,0,1,92,4,70,FALSE,2,0,1,1,38220,0
xiaomi,98,20,Bangalore,2,1,0,1,98,1,3,FALSE,0,0,1,1,301104,0
hmd global,99,20,NCR,0,1,0,1,99,2,53,TRUE,0,0,0,1,9283,0
lge,125,20,Mumbai,1,1,0,1,125,4,70,TRUE,0,0,1,1,484101,0
oppo,133,20,NCR,5,1,0,1,133,3,70,FALSE,0,0,1,1,2091,0
samsung,138,20,NCR,1,2,1,1,138,3,70,TRUE,1,0,1,0,404389,0
apple,138,20,Pune,2,1,0,1,138,1,17,FALSE,0,0,1,1,364973,0
xiaomi,160,20,Visakhapatnam,1,11,5,4,357,11,263,FALSE,0,0,1,1,210346,0
vivo,166,20,Bangalore,3,3,0,3,334,0,0,FALSE,,,1,0,447201,0
oneplus,173,20,NCR,1,1,0,1,173,,0,TRUE,0,0,1,1,279107,0
apple,0,20,Ahmedabad,0,1,0,1,0,,0,TRUE,,,1,0,119080,1
xiaomi,0,20,NCR,1,1,0,1,0,0,0,TRUE,0,0,1,1,298250,1
yu,0,20,NCR,1,1,0,1,0,,0,TRUE,0,0,1,1,65790,1
apple,0,20,Surat,1,10,2,3,114,3,0,FALSE,0,0,1,1,143261,1
xiaomi,0,20,Hyderabad,0,1,0,1,0,0,0,TRUE,2,0,1,0,172170,1
oneplus,0,20,Dehradun,0,1,0,1,0,0,0,FALSE,0,0,1,1,61957,1
vivo,0,20,Rajkot,0,2,0,2,0,,0,FALSE,0,1,1,0,161522,1
samsung,0,20,Ahmedabad,1,1,0,1,0,,0,FALSE,0,1,1,1,7612,1
lyf,0,20,Mysore,0,2,0,1,0,,0,TRUE,0,0,1,1,249635,1
samsung,0,20,Vadodara,0,1,0,1,0,,0,TRUE,0,0,0,0,186260,1
oppo,0,20,,1,1,0,1,0,,0,FALSE,0,0,0,0,166339,1
vivo,0,20,Surat,0,2,0,1,0,,0,TRUE,0,0,1,1,131764,1
vivo,0,20,Surat,1,1,0,1,0,,0,TRUE,0,0,1,0,132612,1
apple,0,20,Ahmedabad,0,1,0,1,0,,0,TRUE,0,0,1,0,172907,1
apple,0,20,Ahmedabad,0,1,0,1,0,,0,FALSE,0,0,0,0,267085,1
xiaomi,0,20,Ahmedabad,1,2,0,1,0,,0,TRUE,0,0,1,0,306598,1
realme,0,20,,0,3,1,1,0,0,0,FALSE,0,0,0,0,503251,1
samsung,0,20,Bangalore,0,5,1,1,0,,0,TRUE,0,1,1,1,256039,1
huawei,0,20,Hyderabad,0,1,0,1,0,0,0,FALSE,0,1,0,1,20505,1
oppo,0,20,,0,1,0,1,0,0,0,FALSE,0,0,0,1,157309,1
xiaomi,0,20,Bangalore,0,2,1,1,0,,0,FALSE,0,0,1,1,206966,1
xiaomi,0,20,,0,1,0,1,0,,0,TRUE,0,0,1,0,170123,1
vivo,0,20,Surat,1,1,0,1,0,0,0,TRUE,0,0,1,1,146304,1
vivo,0,20,Surat,0,1,0,1,0,0,0,TRUE,0,0,1,1,111014,1
vivo,0,20,Ahmedabad,0,1,0,1,0,,0,TRUE,0,0,1,1,87139,1
samsung,0,20,Nagpur,3,1,0,1,0,,0,TRUE,0,0,1,1,99408,1
oneplus,0,20,,2,2,0,1,0,,0,FALSE,0,0,1,1,405103,1
xiaomi,0,20,Sangli,0,2,0,1,0,0,0,FALSE,0,0,1,1,387166,1
samsung,0,20,Surat,1,1,0,1,0,0,0,TRUE,0,0,1,0,158610,1
swipe,0,20,,0,1,0,1,0,,0,FALSE,0,0,0,0,100867,1
xiaomi,0,20,Hyderabad,0,3,0,2,217,3,203,TRUE,0,0,1,0,311120,1
samsung,0,20,Bharuch,0,1,0,1,0,,0,TRUE,0,0,1,0,135784,1
xiaomi,0,20,Bhopal,0,1,0,1,0,,0,TRUE,0,0,1,1,71583,1
oppo,0,20,Mumbai,0,1,0,1,0,,0,TRUE,1,1,1,1,166623,1
xiaomi,0,20,Surat,1,1,0,1,0,0,0,TRUE,0,0,1,1,264237,1
xiaomi,0,20,NCR,0,1,0,1,0,,0,TRUE,0,0,1,1,312722,1
apple,1,20,Kankroli,4,3,0,2,1,,0,FALSE,0,0,1,0,295887,1
xiaomi,2,20,Hyderabad,0,1,0,1,2,,0,TRUE,0,0,1,1,350533,1
xiaomi,2,20,Jaipur,0,2,0,1,2,,0,TRUE,0,0,1,0,336196,1
xiaomi,2,20,Bangalore,0,1,0,1,2,1,0,TRUE,0,0,1,1,498418,1
vivo,2,20,,0,22,2,20,65,1,3,FALSE,0,0,1,0,198838,1
samsung,2,20,Kochi,1,1,0,1,2,,0,TRUE,,,1,0,449258,1
xiaomi,2,20,Surat,0,1,0,1,2,1,0,FALSE,0,0,0,0,365536,1
xiaomi,2,20,Pune,1,1,0,1,2,,0,TRUE,0,0,0,1,401029,1
apple,3,20,Third-largest in the Indian state,0,4,2,1,3,1,3,FALSE,0,0,1,0,353187,1
xiaomi,3,20,Visakhapatnam,2,1,0,1,3,1,3,TRUE,0,0,1,0,321324,1
xiaomi,3,20,Mumbai,1,3,0,2,10,2,7,FALSE,0,0,1,1,488941,1
xiaomi,3,20,Hyderabad,0,1,0,1,3,1,3,TRUE,0,0,1,1,325396,1
motorola,3,20,NCR,0,1,0,1,3,,0,TRUE,0,0,1,1,172324,1
xiaomi,3,20,,0,1,0,1,3,,0,FALSE,0,0,0,1,463522,1
motorola,3,20,,0,1,0,1,3,1,3,FALSE,1,0,1,0,157551,1
xiaomi,4,20,Jaipur,0,1,0,1,4,1,3,TRUE,0,0,0,1,196348,1
xiaomi,4,20,Haridwar,1,8,1,5,17,4,13,FALSE,0,0,1,1,380543,1
oneplus,5,20,Bangalore,2,1,0,1,5,1,3,TRUE,0,1,1,0,408411,1
apple,7,20,NCR,1,4,0,4,27,4,13,FALSE,1,0,0,0,26484,1
samsung,7,20,Jaipur,1,1,0,1,7,,0,TRUE,0,0,0,0,111876,1
apple,7,20,Beawar City,0,2,1,1,7,1,3,FALSE,0,0,0,0,326597,1
xiaomi,8,20,Mumbai,0,1,0,1,8,,0,TRUE,0,0,1,1,292556,1
samsung,8,20,NCR,2,1,0,1,8,,0,FALSE,0,0,1,1,480709,1
xiaomi,8,20,Ahmedabad,1,2,0,1,8,1,3,TRUE,0,0,1,1,325644,1
apple,8,20,Lucknow,1,1,0,1,0,,0,FALSE,1,0,1,1,219747,1
vivo,17,20,Vadodara,1,1,0,1,17,1,3,TRUE,0,0,1,0,234091,1
vivo,19,20,Hyderabad,1,2,0,1,19,2,20,FALSE,1,0,1,1,358712,1
vivo,28,20,Visakhapatnam,0,1,0,1,28,2,20,FALSE,0,0,1,1,44210,1
apple,30,20,Bhagalpur,1,1,0,1,30,,0,TRUE,0,0,1,1,318541,1
oneplus,30,20,Chennai,0,4,2,1,30,2,20,FALSE,1,1,1,1,337115,1
oppo,33,20,Kishanganj,1,4,1,1,33,2,20,FALSE,0,1,1,1,478837,1
samsung,33,20,San Francisco,1,1,0,1,33,2,20,FALSE,0,0,1,1,374212,1
huawei,40,20,Bangalore,3,1,0,1,40,2,20,FALSE,0,0,1,1,286456,1
oneplus,42,20,Chennai,3,1,0,1,42,2,20,FALSE,0,0,1,1,257312,1
apple,44,20,Bangalore,5,4,0,2,65,,0,FALSE,0,0,1,1,396522,1
samsung,45,20,Anantapur,1,1,0,1,45,,0,FALSE,0,0,1,0,305703,1
asus,59,20,Rewa,1,4,0,1,59,,0,TRUE,0,0,1,1,219770,1
huawei,67,20,Hyderabad,0,1,0,1,67,1,3,TRUE,0,0,1,0,481632,1
xiaomi,75,20,Bangalore,1,4,1,1,75,1,3,TRUE,0,0,1,1,344307,1
samsung,77,20,Ajmer,2,2,0,2,81,3,70,FALSE,0,0,1,1,461010,1
xiaomi,92,20,NCR,0,1,0,1,92,1,3,FALSE,0,0,0,1,203522,1
xiaomi,117,20,NCR,1,2,0,1,117,3,70,TRUE,0,0,1,0,46014,1
oppo,314,20,Bhuj,4,1,0,1,314,0,33,TRUE,0,0,1,1,368547,1
oneplus,0,21,Kolkata,1,7,0,5,162,0,0,TRUE,0,1,1,1,172332,0
huawei,0,21,Kolkata,1,6,1,4,9,2,7,FALSE,0,0,1,1,4699,0
oneplus,0,21,Ahmedabad,0,2,0,1,0,,0,FALSE,0,1,1,1,352677,0
vivo,0,21,Secunderabad,1,1,0,1,0,0,0,TRUE,0,1,1,1,307394,0
samsung,0,21,Bangalore,0,1,0,1,0,,0,FALSE,0,0,1,1,327290,0
xiaomi,0,21,Ahmedabad,1,3,0,1,0,0,0,TRUE,0,0,1,0,175838,0
asus,0,21,Mumbai,0,3,0,1,0,0,0,FALSE,0,0,0,0,2544,0
xiaomi,0,21,,1,3,0,3,11,2,7,FALSE,0,0,1,1,501087,0
hmd global,0,21,Rupnagar,1,1,0,1,0,0,0,TRUE,0,0,1,0,123306,0
samsung,0,21,,0,1,0,1,0,,0,FALSE,0,0,1,0,492354,0
xiaomi,0,21,Ahmedabad,1,5,1,4,56,0,0,TRUE,0,1,1,1,25335,0
samsung,1,21,Mumbai,1,6,1,1,1,,0,FALSE,1,0,1,1,464883,0
xiaomi,1,21,Bhubaneshwar,1,2,0,2,3,0,0,FALSE,0,0,0,0,391802,0
apple,1,21,Muktsar,1,8,5,2,8,1,3,FALSE,1,0,1,1,489008,0
xiaomi,1,21,Rajkot,0,3,0,2,3,0,0,FALSE,1,0,1,0,464577,0
samsung,1,21,Mumbai,1,2,0,1,1,,0,FALSE,0,0,1,1,452175,0
samsung,2,21,Bhopal,1,3,0,2,2,0,0,TRUE,3,0,1,1,394350,0
oneplus,2,21,,0,3,1,2,14,1,3,FALSE,0,1,1,1,496912,0
vivo,2,21,NCR,1,1,0,1,2,0,0,FALSE,0,0,1,1,319085,0
oneplus,2,21,Pune,1,2,0,2,3,,0,FALSE,0,0,0,0,155428,0
xiaomi,2,21,Pune,5,8,0,5,21,2,7,TRUE,0,1,1,1,300195,0
samsung,2,21,Hyderabad,0,3,0,2,24,1,3,FALSE,0,0,1,1,5411,0
xiaomi,2,21,ludhiana,2,3,0,1,2,0,0,FALSE,0,0,1,1,205600,0
xiaomi,2,21,Dehradun,0,1,0,1,2,0,0,TRUE,2,0,1,1,360160,0
apple,2,21,Jaipur,1,7,0,3,12,2,7,FALSE,0,1,1,1,331826,0
samsung,3,21,Pratapgarh,1,8,0,3,82,1,3,FALSE,0,0,1,1,168437,0
oneplus,3,21,Renebennur,1,2,0,1,3,,0,TRUE,0,0,1,1,196111,0
samsung,3,21,Ambala,2,3,0,3,10,3,10,FALSE,0,0,1,0,23014,0
samsung,3,21,NCR,1,2,1,1,3,0,0,FALSE,1,1,1,1,209436,0
vivo,3,21,Bangalore,1,3,1,2,7,2,7,FALSE,0,0,1,1,289354,0
xiaomi,3,21,Mumbai,2,5,1,2,2,1,3,FALSE,0,0,1,1,484165,0
oneplus,3,21,NCR,0,2,0,2,23,1,0,TRUE,0,0,0,1,413701,0
huawei,3,21,Kolkata,1,14,1,6,11,1,3,TRUE,2,1,1,1,35111,0
oneplus,3,21,NCR,1,1,0,1,3,1,3,TRUE,0,0,1,0,463358,0
samsung,4,21,NCR,1,3,0,1,4,,0,TRUE,1,0,1,1,29543,0
vivo,4,21,Haridwar,1,2,0,1,4,1,3,TRUE,0,1,1,1,365949,0
oneplus,4,21,,1,2,0,2,10,1,3,FALSE,0,0,1,1,462912,0
apple,5,21,Kolkata,1,4,1,2,15,3,7,TRUE,0,0,1,1,381871,0
xiaomi,5,21,NCR,1,4,1,2,1,1,3,FALSE,0,0,1,1,27418,0
xiaomi,7,21,Bareilly,0,23,0,21,140,8,57,FALSE,0,0,1,0,71386,0
samsung,7,21,Jaipur,1,80,3,71,253,72,250,FALSE,0,1,1,1,7470,0
vivo,7,21,Pune,0,5,0,5,20,2,7,FALSE,1,0,1,1,501095,0
xiaomi,7,21,Mumbai,1,1,0,1,7,1,3,FALSE,1,0,1,1,388236,0
apple,7,21,Rajkot,1,3,0,1,7,1,3,FALSE,0,0,1,1,225452,0
samsung,8,21,NCR,1,1,0,1,8,,0,TRUE,2,0,1,0,334038,0
oppo,8,21,Secunderabad,0,1,0,1,8,1,3,FALSE,0,0,1,1,23858,0
motorola,9,21,Secunderabad,1,1,0,1,9,2,3,FALSE,0,0,1,1,47785,0
vivo,9,21,Ahmedabad,0,1,0,1,9,2,3,TRUE,0,0,1,0,35136,0
realme,10,21,Nashik,1,3,1,2,23,2,7,FALSE,0,1,1,1,438194,0
huawei,10,21,,1,3,1,1,10,1,3,FALSE,0,0,1,1,427847,0
xiaomi,10,21,,0,2,0,2,20,1,20,FALSE,1,0,1,1,477156,0
apple,10,21,Lucknow,1,2,1,1,10,1,3,FALSE,0,0,1,1,502983,0
oneplus,10,21,Visakhapatnam,1,1,0,1,10,1,3,FALSE,0,0,1,1,156172,0
xiaomi,11,21,Bangalore,1,3,0,1,11,3,3,TRUE,3,1,1,1,467387,0
oneplus,11,21,Ludhiana,1,2,1,1,11,1,3,FALSE,0,0,1,1,438704,0
samsung,12,21,Surat,1,2,0,1,12,,0,TRUE,0,0,1,1,17438,0
realme,12,21,Thiruvananthapuram,0,3,1,2,14,1,3,FALSE,2,0,1,1,230200,0
oneplus,13,21,Kanchipuram,1,3,1,1,13,,0,FALSE,0,0,1,1,474522,0
oneplus,14,21,Hyderabad,1,2,0,1,14,,0,TRUE,0,0,1,1,494396,0
samsung,14,21,Ahmedabad,1,3,0,1,14,0,0,TRUE,0,0,1,1,388079,0
apple,15,21,Chennai,1,2,1,1,15,0,0,FALSE,0,0,1,1,74142,0
apple,16,21,Ludhiana,3,4,2,2,26,1,3,FALSE,0,0,1,1,256270,0
asus,16,21,Gaya,1,2,0,1,16,1,3,FALSE,5,0,1,1,432046,0
apple,17,21,Chattarpur,0,3,1,2,56,4,40,FALSE,0,0,1,1,2397,0
realme,17,21,Bageshwar ,1,7,2,2,122,6,90,TRUE,2,1,1,1,496224,0
realme,17,21,Vijayawada,0,1,0,1,17,1,17,TRUE,0,1,1,1,166815,0
xiaomi,17,21,NCR,1,2,0,1,17,1,3,FALSE,,,1,1,450254,0
apple,17,21,Chandigarh,1,2,0,2,21,,0,FALSE,1,1,1,0,223761,0
apple,17,21,Thrissur,0,5,2,3,68,0,17,FALSE,0,0,1,0,457010,0
realme,17,21,Vijayawada,0,6,2,2,74,4,40,TRUE,0,1,1,1,278177,0
apple,17,21,Vellore,1,2,0,2,64,0,0,FALSE,0,0,1,1,353213,0
samsung,18,21,Mumbai,1,1,0,1,18,0,0,TRUE,0,1,1,0,408029,0
apple,20,21,Dispur/Guwahati,1,1,0,1,20,0,0,FALSE,0,0,1,1,380151,0
motorola,20,21,NCR,1,2,0,2,25,0,0,FALSE,0,0,1,1,59717,0
oppo,22,21,Jaipur,0,10,1,7,133,0,0,TRUE,0,0,1,1,149909,0
apple,22,21,NCR,1,2,1,1,22,2,20,FALSE,0,0,0,1,135352,0
samsung,22,21,Jalandhar,1,1,0,1,22,2,20,FALSE,0,0,1,1,15606,0
apple,23,21,Rajkot,4,2,0,1,23,0,0,FALSE,2,0,1,1,239708,0
xiaomi,24,21,Rajkot,1,1,0,1,24,,0,FALSE,0,0,1,1,501454,0
oneplus,28,21,Mumbai,1,2,0,2,31,0,33,TRUE,2,0,0,1,339625,0
xiaomi,28,21,Hyderabad,0,2,0,1,28,0,0,FALSE,0,0,1,1,55022,0
realme,29,21,NCR,1,2,0,1,29,2,20,FALSE,3,0,1,1,322186,0
apple,31,21,Nashik,5,2,0,2,69,4,40,FALSE,0,0,1,1,339657,0
samsung,33,21,NCR,1,1,0,1,33,2,20,FALSE,1,0,1,1,35328,0
asus,36,21,Jaipur,0,7,1,1,36,2,20,FALSE,0,1,1,1,362693,0
xiaomi,37,21,Bangalore,0,3,1,1,37,0,0,FALSE,2,1,1,1,356725,0
xiaomi,37,21,,0,8,0,7,103,6,63,FALSE,1,1,1,1,474188,0
apple,40,21,Mumbai,1,1,0,1,40,1,3,FALSE,0,0,0,1,344422,0
apple,46,21,Bangalore,1,3,0,2,55,,0,FALSE,0,0,1,1,1451,0
apple,48,21,Ludhiana,0,3,1,1,48,2,20,FALSE,0,2,1,1,413516,0
apple,48,21,NCR,1,1,0,1,48,2,20,FALSE,1,0,0,1,363056,0
apple,50,21,NCR,0,1,0,1,50,2,20,TRUE,0,0,1,1,24901,0
apple,51,21,Guwahati,1,1,0,1,51,2,20,FALSE,0,0,1,1,80978,0
apple,51,21,Hisar,1,1,0,1,51,0,0,TRUE,0,0,1,1,143217,0
xiaomi,57,21,Mumbai,0,1,0,1,57,2,20,FALSE,0,0,1,1,78721,0
apple,59,21,NCR,2,1,0,1,59,2,20,FALSE,0,0,1,1,82713,0
vivo,65,21,Saharanpur,1,1,0,1,65,2,20,FALSE,,,1,1,31333,0
apple,73,21,Bangalore,1,2,0,1,73,4,70,FALSE,0,0,1,1,470957,0
oneplus,77,21,Bhubaneshwar,1,2,0,1,77,3,70,FALSE,0,0,1,1,327816,0
apple,83,21,Kolkata,0,4,3,1,83,3,70,FALSE,0,0,1,1,219726,0
xiaomi,89,21,Jaipur,1,2,0,1,0,3,87,FALSE,2,0,1,1,18390,0
xiaomi,112,21,Allahabad,1,2,1,1,112,5,70,TRUE,0,1,1,1,33925,0
samsung,118,21,Mahesana,1,8,0,1,118,0,0,TRUE,1,0,1,1,41887,0
samsung,125,21,Ludhiana,1,3,1,1,0,4,127,FALSE,2,2,1,1,227727,0
apple,159,21,Yamunanagar,1,1,0,1,159,,0,FALSE,0,0,1,0,34283,0
